date,headline,ticker,source
2021-01-04,Markets tumble on recession fears and weak economic data,,Yahoo Finance
2021-01-05,AAPL profit margins expand amid cost cutting efforts,AAPL,Reuters
2021-01-05,Analysts upgrade SPY to 'buy' after strong quarter,SPY,MarketWatch
2021-01-06,SPY files routine regulatory paperwork,SPY,Yahoo Finance
2021-01-06,QQQ to present at upcoming investor conference,QQQ,MarketWatch
2021-01-06,GOOGL announces major share buyback program,GOOGL,Reuters
2021-01-07,GDP growth slows but beats revised expectations,,MarketWatch
2021-01-07,Wall Street bullish on SPY growth prospects,SPY,CNBC
2021-01-07,Tech sector leads market decline on growth concerns,,Bloomberg
2021-01-08,Oil prices surge on geopolitical tensions in Middle East,,Reuters
2021-01-08,Mixed signals for AAPL as sector consolidates,AAPL,Yahoo Finance
2021-01-11,Short sellers increase bets against SPY,SPY,Bloomberg
2021-01-11,AAPL board approves routine corporate matters,AAPL,CNBC
2021-01-12,Competition intensifies as SPY loses market share,SPY,Yahoo Finance
2021-01-12,AAPL dividend increase signals management confidence,AAPL,MarketWatch
2021-01-13,VIX spikes as volatility returns to equity markets,,Yahoo Finance
2021-01-13,S&P 500 closes at session highs on broad rally,,Reuters
2021-01-14,Market rally lifts AAPL to new 52-week high,AAPL,Reuters
2021-01-15,SPY CFO departure raises governance questions,SPY,Bloomberg
2021-01-18,Institutional investors increase holdings in AAPL,AAPL,Bloomberg
2021-01-19,QQQ raises full-year guidance above consensus,QQQ,Yahoo Finance
2021-01-20,Strong consumer demand drives QQQ sales higher,QQQ,Reuters
2021-01-20,GDP growth slows but beats revised expectations,,CNBC
2021-01-21,Options activity in GOOGL suggests sideways movement,GOOGL,Bloomberg
2021-01-22,SPY volume picks up ahead of next week earnings,SPY,Yahoo Finance
2021-01-25,Mixed signals for AAPL as sector consolidates,AAPL,Bloomberg
2021-01-27,Treasury yields climb as inflation data tops expectations,,Reuters
2021-01-27,GOOGL cloud revenue growth accelerates in latest quarter,GOOGL,Reuters
2021-01-29,Rising costs pressure MSFT profit margins,MSFT,CNBC
2021-02-02,Trading volume in AAPL remains steady ahead of earnings,AAPL,Reuters
2021-02-02,GOOGL profit margins expand amid cost cutting efforts,GOOGL,MarketWatch
2021-02-02,Short sellers increase bets against GOOGL,GOOGL,Bloomberg
2021-02-03,QQQ announces major share buyback program,QQQ,Yahoo Finance
2021-02-03,Market selloff drags SPY below key support levels,SPY,Reuters
2021-02-04,Rising costs pressure QQQ profit margins,QQQ,MarketWatch
2021-02-04,MSFT announces leadership transition plan,MSFT,MarketWatch
2021-02-05,GDP growth slows but beats revised expectations,,MarketWatch
2021-02-09,Consumer confidence drops to lowest level in six months,,MarketWatch
2021-02-11,SPY secures major government contract worth billions,SPY,MarketWatch
2021-02-12,Mixed signals for AAPL as sector consolidates,AAPL,Yahoo Finance
2021-02-15,Options activity in MSFT suggests sideways movement,MSFT,CNBC
2021-02-15,"AAPL beats earnings expectations, shares surge",AAPL,MarketWatch
2021-02-16,Trade tensions weigh on SPY international revenue,SPY,MarketWatch
2021-02-17,QQQ board approves routine corporate matters,QQQ,Bloomberg
2021-02-18,Market rally lifts QQQ to new 52-week high,QQQ,MarketWatch
2021-02-22,MSFT lowers guidance amid macroeconomic headwinds,MSFT,Yahoo Finance
2021-02-22,Retail investors drive unusual options activity,,Bloomberg
2021-02-22,SPY to present at upcoming investor conference,SPY,MarketWatch
2021-02-23,Concerns mount over SPY slowing growth trajectory,SPY,Yahoo Finance
2021-02-24,Market rally lifts GOOGL to new 52-week high,GOOGL,Reuters
2021-02-25,Manufacturing PMI signals contraction for third month,,MarketWatch
2021-02-26,Analysts downgrade AAPL citing valuation concerns,AAPL,Reuters
2021-03-03,GOOGL holds investor day with no major announcements,GOOGL,Bloomberg
2021-03-03,Short sellers increase bets against AAPL,AAPL,MarketWatch
2021-03-03,Institutional investors increase holdings in SPY,SPY,Reuters
2021-03-04,AAPL announces leadership transition plan,AAPL,MarketWatch
