Date,Ticker,Open,High,Low,Close,Volume
2021-01-04,SPY,259.91,260.17,259.53,259.68,71434612
2021-01-05,SPY,259.87,262.06,257.75,261.38,85702267
2021-01-06,SPY,261.58,263.52,261.03,262.32,69315999
2021-01-07,SPY,262.39,263.04,262.22,262.71,43990305
2021-01-08,SPY,262.17,263.05,259.04,260.13,99566671
2021-01-11,SPY,260.19,260.87,259.88,260.66,33873394
2021-01-12,SPY,261.33,263.1,260.0,262.95,90460517
2021-01-13,SPY,262.89,263.76,262.35,262.48,47731987
2021-01-14,SPY,263.16,265.64,261.18,265.54,95951435
2021-01-15,SPY,266.27,269.22,263.77,269.15,109052157
2021-01-18,SPY,269.21,270.49,269.02,270.05,50491050
2021-01-19,SPY,270.09,271.15,269.79,271.0,70654844
2021-01-20,SPY,270.53,271.73,266.68,267.52,72008516
2021-01-21,SPY,267.65,269.59,267.5,268.6,35669760
2021-01-22,SPY,269.83,275.42,267.41,274.88,88983491
2021-01-25,SPY,275.38,278.62,273.44,277.2,104003834
2021-01-26,SPY,277.07,278.18,275.81,275.82,54696342
2021-01-27,SPY,275.87,277.13,275.57,277.03,45750723
2021-01-28,SPY,275.91,280.82,273.43,273.92,70402040
2021-01-29,SPY,273.99,277.2,273.17,276.15,97830787
2021-02-01,SPY,276.08,276.32,275.11,275.13,58090023
2021-02-02,SPY,274.88,275.9,273.1,273.98,117135756
2021-02-03,SPY,274.26,276.6,273.95,275.59,92971923
2021-02-04,SPY,276.26,280.0,275.57,277.75,39323223
2021-02-05,SPY,277.95,278.92,276.82,278.63,42895768
2021-02-08,SPY,278.58,279.48,278.24,278.5,36205081
2021-02-09,SPY,278.23,278.98,274.36,276.29,42377091
2021-02-10,SPY,276.1,276.75,275.38,275.76,66011344
2021-02-11,SPY,275.39,275.85,269.88,272.56,43249940
2021-02-12,SPY,272.64,273.14,272.54,272.84,37810115
2021-02-15,SPY,272.01,273.4,268.13,270.0,88351937
2021-02-16,SPY,270.01,271.67,269.51,271.14,57342492
2021-02-17,SPY,272.13,275.72,268.83,274.86,90340214
2021-02-18,SPY,274.88,279.77,272.53,278.88,66318772
2021-02-19,SPY,279.6,286.23,278.19,283.42,58890760
2021-02-22,SPY,284.48,290.05,281.3,287.43,81220663
2021-02-23,SPY,287.49,287.81,287.22,287.72,36032726
2021-02-24,SPY,287.84,288.2,287.68,288.06,45361923
