date,headline,ticker,source,positive,negative,neutral,label,compound_score
2021-01-04,Markets tumble on recession fears and weak economic data,,Yahoo Finance,0.1039,0.6371,0.259,negative,-0.5333
2021-01-05,AAPL profit margins expand amid cost cutting efforts,AAPL,Reuters,0.2303,0.1617,0.608,neutral,0.0687
2021-01-05,Analysts upgrade SPY to 'buy' after strong quarter,SPY,MarketWatch,0.6314,0.0212,0.3474,positive,0.6102
2021-01-06,SPY files routine regulatory paperwork,SPY,Yahoo Finance,0.0787,0.2671,0.6542,neutral,-0.1884
2021-01-06,QQQ to present at upcoming investor conference,QQQ,MarketWatch,0.1264,0.3497,0.5239,neutral,-0.2233
2021-01-06,GOOGL announces major share buyback program,GOOGL,Reuters,0.2065,0.1195,0.674,neutral,0.087
2021-01-07,GDP growth slows but beats revised expectations,,MarketWatch,0.6182,0.0977,0.2841,positive,0.5205
2021-01-07,Wall Street bullish on SPY growth prospects,SPY,CNBC,0.812,0.0706,0.1174,positive,0.7415
2021-01-07,Tech sector leads market decline on growth concerns,,Bloomberg,0.1083,0.641,0.2507,negative,-0.5327
2021-01-08,Oil prices surge on geopolitical tensions in Middle East,,Reuters,0.776,0.0301,0.1938,positive,0.7459
2021-01-08,Mixed signals for AAPL as sector consolidates,AAPL,Yahoo Finance,0.1721,0.1779,0.65,neutral,-0.0057
2021-01-11,Short sellers increase bets against SPY,SPY,Bloomberg,0.8287,0.0448,0.1265,positive,0.784
2021-01-11,AAPL board approves routine corporate matters,AAPL,CNBC,0.1858,0.2867,0.5275,neutral,-0.1009
2021-01-12,Competition intensifies as SPY loses market share,SPY,Yahoo Finance,0.0702,0.7282,0.2015,negative,-0.658
2021-01-12,AAPL dividend increase signals management confidence,AAPL,MarketWatch,0.826,0.0934,0.0805,positive,0.7326
2021-01-13,VIX spikes as volatility returns to equity markets,,Yahoo Finance,0.0883,0.2486,0.6631,neutral,-0.1603
2021-01-13,S&P 500 closes at session highs on broad rally,,Reuters,0.8197,0.08,0.1003,positive,0.7397
2021-01-14,Market rally lifts AAPL to new 52-week high,AAPL,Reuters,0.5625,0.0505,0.387,positive,0.512
2021-01-15,SPY CFO departure raises governance questions,SPY,Bloomberg,0.1642,0.3781,0.4577,neutral,-0.2138
2021-01-18,Institutional investors increase holdings in AAPL,AAPL,Bloomberg,0.6706,0.1484,0.1811,positive,0.5222
2021-01-19,QQQ raises full-year guidance above consensus,QQQ,Yahoo Finance,0.8638,0.1262,0.0099,positive,0.7376
2021-01-20,Strong consumer demand drives QQQ sales higher,QQQ,Reuters,0.7354,0.1249,0.1397,positive,0.6105
2021-01-20,GDP growth slows but beats revised expectations,,CNBC,0.6487,0.0929,0.2584,positive,0.5559
2021-01-21,Options activity in GOOGL suggests sideways movement,GOOGL,Bloomberg,0.0928,0.3393,0.5679,neutral,-0.2465
2021-01-22,SPY volume picks up ahead of next week earnings,SPY,Yahoo Finance,0.1896,0.3387,0.4718,neutral,-0.1491
2021-01-25,Mixed signals for AAPL as sector consolidates,AAPL,Bloomberg,0.2295,0.2912,0.4793,neutral,-0.0617
2021-01-27,Treasury yields climb as inflation data tops expectations,,Reuters,0.0905,0.183,0.7264,neutral,-0.0925
2021-01-27,GOOGL cloud revenue growth accelerates in latest quarter,GOOGL,Reuters,0.7242,0.116,0.1597,positive,0.6082
2021-01-29,Rising costs pressure MSFT profit margins,MSFT,CNBC,0.1397,0.6561,0.2042,negative,-0.5164
